url,район Крылатское/УИК №2573,УИК №2573,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774019006&tvd=4774019107670&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774019107670,2697,2400,850,21,1529,21,847,19,849,26,29,121,27,280,366
url,район Аэропорт/УИК №194,УИК №194,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774037007&tvd=4774037113986&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774037113986,2890,2600,914,32,1654,32,914,11,935,15,29,122,20,350,399
url,район Тропарево-Никулино/УИК №2842,УИК №2842,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774029024&tvd=4774029115890&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774029115890,1663,1600,629,17,954,17,627,10,634,9,9,101,26,203,286
url,район Очаково-Матвеевское/УИК №2731,УИК №2731,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774025029&tvd=4774025113949&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774025113949,2314,2100,684,18,1398,18,682,7,693,22,14,65,13,164,415
url,Можайский район/УИК №2647,УИК №2647,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774022018&tvd=4774022124557&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774022124557,1777,1500,464,23,1013,23,464,7,480,15,7,51,15,127,265
url,район Преображенское/УИК №1202,УИК №1202,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774013016&tvd=4774013111808&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774013111808,2148,1500,616,30,854,30,614,8,636,24,11,65,31,175,330
url,район Преображенское/УИК №3683,УИК №3683,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774013026&tvd=4774013111993&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774013111993,278,290,273,0,17,0,273,12,261,11,11,16,12,41,170
url,район Раменки/УИК №2765,УИК №2765,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774027013&tvd=4774027118591&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774027118591,454,500,194,18,288,18,194,3,209,1,3,53,5,98,49
url,Можайский район/УИК №2646,УИК №2646,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774022017&tvd=4774022124556&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774022124556,2076,1500,511,23,966,23,511,6,528,14,15,68,18,152,261
url,Останкинский район/УИК №670,УИК №670,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774063001&tvd=4774063104645&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774063104645,1922,1300,562,38,700,38,562,11,589,21,15,78,23,153,299
url,район Старое Крюково/УИК №3295,УИК №3295,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774034013&tvd=4774034112354&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774034112354,1322,1000,440,56,504,56,440,5,491,18,20,64,7,127,255
url,район Косино-Ухтомский /УИК №1078,УИК №1078,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007019&tvd=4774007103120&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103120,2143,1900,706,10,1184,10,706,13,703,17,13,82,10,135,446
url,район Косино-Ухтомский /УИК №1079,УИК №1079,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007020&tvd=4774007103121&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103121,1946,1700,648,8,1044,8,648,10,646,17,7,79,19,129,395
url,район Косино-Ухтомский /УИК №1069,УИК №1069,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007010&tvd=4774007103111&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103111,2046,1800,619,26,1155,26,619,14,631,24,17,55,15,153,367
url,район Косино-Ухтомский /УИК №1071,УИК №1071,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007012&tvd=4774007103113&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103113,2431,2100,667,26,1407,26,666,11,681,24,13,38,11,172,423
url,район Косино-Ухтомский /УИК №1074,УИК №1074,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007015&tvd=4774007103116&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103116,2216,2000,563,28,1409,28,563,9,582,17,9,53,6,125,372
url,район Косино-Ухтомский /УИК №1076,УИК №1076,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007017&tvd=4774007103118&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103118,1613,1400,504,10,886,10,504,6,508,10,3,41,7,108,339
url,район Метрогородок /УИК №1087,УИК №1087,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774008008&tvd=4774008102023&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774008102023,1813,1300,512,25,763,25,512,9,528,22,12,74,17,121,282
url,район Метрогородок /УИК №1081,УИК №1081,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774008002&tvd=4774008102017&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774008102017,1873,1350,524,39,787,39,524,12,551,22,8,57,23,145,296
url,район Перово/УИК №1184,УИК №1184,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011035&tvd=4774011125814&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125814,2488,2100,737,38,1325,38,734,15,757,25,19,74,32,235,372
url,район Перово/УИК №1180,УИК №1180,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011031&tvd=4774011125810&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125810,2471,2100,745,42,1313,42,745,12,775,17,24,92,33,222,387
url,район Восточное Измайлово /УИК №3669,УИК №3669,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774003023&tvd=4774003110002&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774003110002,248,300,242,0,58,0,242,7,235,4,5,25,11,20,170
url,район Раменки/УИК №3764,УИК №3764,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774027040&tvd=4774027118809&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774027118809,25,100,25,0,75,0,25,0,25,3,1,4,0,5,12
url,район Кунцево/УИК №2614,УИК №2614,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774020024&tvd=9779020119255&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=9779020119255,2141,2000,545,43,1412,43,544,10,577,18,28,55,26,167,283
url,район Раменки/УИК №2757,УИК №2757,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774027005&tvd=4774027118583&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774027118583,2310,2200,779,43,1378,43,777,7,813,19,24,99,31,289,351
url,район Сокольники/УИК №1271,УИК №1271,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774016025&tvd=4774016108415&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774016108415,2280,1590,916,29,645,19,911,7,923,19,14,79,185,316,310
url,район Ново-Переделкино/УИК №2690,УИК №2690,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774024024&tvd=4774024111691&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774024111691,1456,1200,395,16,789,16,395,5,406,10,12,38,11,95,240
url,район Измайлово /УИК №1031,УИК №1031,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774006006&tvd=4774006116189&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774006116189,1620,1600,482,16,1102,16,481,5,492,14,14,52,17,161,234
url,район Ивановское /УИК №1020,УИК №1020,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774005031&tvd=4774005123160&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774005123160,2314,2150,714,35,1401,35,714,9,740,27,32,63,19,160,439
